,Emotion,Text
2691,joy,I passed an exam which I was not sure at all to pass.  I rejoyced at the result because the possibility of continuing my studies depended on it.
2692,fear,"Motorcyclist accident where for some minutes I didn't know if I was alive or dead, I remained cold levered during the situation but felt great fear."
2693,sadness," I see what you mean , but I ’ m still bummed out . "
2694,anger,Prosecutors were clearly miffed that several businessman changed the statements they had given during investigation of the case .
2695,fear,"To the dismay of the South Africans , umpire Cumberbatch merely signalled a leg-side wide . "
2696,sadness,"When my boyfriend openly let me down, preferring another girl."
2697,neutral, Dumplings . 
2698,anger,One of my friends went and told another friend of mine that I was going abut with another guy in London besides the one I had. She said I was seen with him hand in hand.
2699,neutral, Coming as ? 
2700,fear,On the way home from Chester. Zack drives like something off need for speed :( 
2701,joy, Let's go and try now ! 
2702,neutral, I was skiing on and on excitedly until I realized one thing-I could not stop ! You can just imagine how terrified I was . 
2703,neutral, Yes . 
2704,sadness,"When my grandmother died, her life was heavy and her last hours were terrible."
2705,neutral, Yes ? 
2706,joy,"There was a cool mockery in his deep voice , and she turned to glare at him , hating him for the fact that he seemed to be deriving amusement from her discomfort . "
2707,joy,Her own intense excitement had given way to a hollow feeling in her stomach and she had been quite unable to eat for several days . 
2708,anger,When I found out that the guy I was dating at a particular time had a steady relationship going on with someone else for a long time.
2709,sadness,One of my best friends was hurt by a girl he loves.
2710,sadness,"When I saw in the newspapers, on the T.V, and magazines the chaotic situation caused by the drought and hunger in Mauritania."
2711,sadness,I was sad when my MCE grades were out. I had gone for a football match a mile away from home. The mail found me there. I was disappointed and didn't play the other half of the match.
2712,fear,"In the recent lightning storm, bolts of lightning were hitting close by (1/8 mile). I was in bed at the time and was afraid I might be struck."
2713,anger, What ? You call that a stir fry ? More meat than vegetables ? That ’ s the worst insult you could throw at a Chinese stir fry . What a disgrace to the wok she fried it in ! What you had is equivalent to a fajita without the wrap ! 
2714,fear,Fear from the unknown. I felt fear when I sat for the entrance examinations.
2715,neutral, Certainly . 
2716,neutral, What is it ? 
2717,anger,"When my father talks about our relatives and favours them, I feel angry."
2718,joy,On holidays - just driving along a road beautiful scenery. Just with my boyfriend - not really talking but just feeling overwhelmed.
2719,neutral, Yes . 
2720,sadness, Hmm . I think I should ask some of my friends for advice before I make a decision . I'm sorry . 
2721,sadness,Finding out that my best friend could not go to university.
2722,fear,Unknown person knocking repeatedly on backdoor when no one else was at home.
2723,sadness,I lost all my lottery winnings playing the stock market . 
2724,anger,"The last day of school is traditionally celebrated by singing a song about all the students who are leaving.  In the song about me, there were things which irritated me a lot."
2725,anger,I just discovered that I owe $ 10 for a movie that I never ordered . 
2726,sadness,She looked utterly desolate and all of her thirty-eight years ; her cheeks seemed to sag and her jaw-line looked heavy . 
2727,sadness,"Realizing that school will soon be over, and we will all go different ways, perhaps never meeting again our friends from this year."
2728,neutral,Hello . 
2729,joy," Yes , I enjoyed it very much . "
2730,neutral, All right . 
2731,neutral, I will . 
2732,fear,When I first sat for an entrance examination.
2733,sadness,A very close friend of mine died. I read it in the newspaper. I didn't know what to do and thought about it the whole day.
2734,joy,"His excitement at the prospect of exploiting that potential is palpable , though he has no illusions about current difficulties . "
2735,neutral, I have no idea . I like cooking by myself . I like to taste delicious food . 
2736,joy, Sounds good . When and where shall we meet ? 
2737,neutral, Not really . 
2738,fear,When my 2 year old son climbed up and sat on the 7th floor balcony with his legs hanging out.  He was holding on tightly to the upper railing of the balcony but he could have easily lost his balance when he sat down.
2739,joy, Don't worry . I'm not much of a dancer myself . 
2740,anger," Yeah , yeah , I know what I selected . Just give me my money ! "
2741,neutral," Yes , I do . "
2742,fear,I asked someone to bring some present to my father and found out that he is not a reliable person. I was afraid if my father would not get the presents he would be angry with me.
2743,joy,When I passed the driving test three weeks ago and got my licence.
2744,anger,Could you please stop flipping the channels ? 
2745,fear,"And it was equally insistent that a policy of retreat would cause dismay in Washington , thereby diminishing Britain 's ability to exert influence over American policy . "
2746,neutral," It'll be close , but we'll make it . "
2747,fear,"There was public disquiet , questions in the Commons and an enquiry ordered into Jeffrey 's whereabouts . "
2748,joy, OK . Where ? 
2749,fear,"I was going home by car late one night when it was cold, dark and windy.  I became rather panicky on the way to my house."
2750,sadness,The people of America and throughout the world were stunned and grief-stricken by the President 's assassination . 
2751,fear,"we can't stop here, this is DRONE country!!! "
2752,neutral, Good idea . 
2753,joy,"She was already feeling a bit better and she felt quite amused at this cool domination , especially as she was not going to pay any attention to it . "
2754,sadness,"At their graves their families would unite with their beloved over a memorial meal and a drink , easing their grief in recreating the family intimacy , only transiently ruptured . "
2755,joy,"I am pleased that there has been a threefold increase in , for example , HRT prescriptions during the past 10 years . "
2756,sadness," I ’ m sorry to hear that.You ’ d better stay at home.After all , we can visit Mrs.Brown later "
2757,neutral,"Hello , Pam . "
2758,anger, I have been looking forward to this performance all month . 
2759,sadness, B :: I'm such a fool that duplication of effort is only a waste time to me . 
2760,fear,I'm so afraid of viruses now. why did he have to watch this video?! 
2761,neutral, You think ? 
2762,sadness,"I am filled with gloom and sadness at the death of a person.  More specifically, I felt sad after hearing the news of a death of a person who was hale and hearty and full of life, with vigour and plans for the next day but had no next day to cherish it."
2763,joy,"` You know Joanna will be overjoyed to see you in any condition . "" "
2764,sadness, That ’ s too bad . I hate sand storms too . It can be worse than any kind of bad weather . 
2765,anger,Then she must sit in the sun before hauling it back up and altogether I was enraged and wished I was in a condition to show her how it should be done . 
2766,fear,"My grandmother several times has been struck by cerebral hemorrhages. Until now she recovered well each time, but there is always the threat to loose her."
2767,joy,"I thought that I was going to fail a subject and so I began to study for the final exam, then my friend told me that I had passed it.  That meant that I could go home, as I do not study in my hometown."
2768,neutral," Great , Is it convenient if i visit you this weekend ? "
2769,neutral, Look ! there's a Folk concert tomorrow evening . Do you Want to go ? 
2770,fear,In a dark street at 4 o'clock in the night and there was complete silence.
2771,anger,"I was living in a flat where things did not go very well for me.  Finally, they threw me out and this prejudiced people I esteem a lot."
2772,neutral, Why ? 
2773,sadness,I sit disconsolate in the snow . 
2774,fear,"Mr McWhinney ( 55 ) , of Drumhark Road , Comber , died instantly when his single engined Pulsar plunged to the ground in front of horrified spectators . "
2775,anger, You ! 
2776,anger, Don't bother . 
2777,anger, It's not just for your drinking . But you are lacking sense of responsibility . 
2778,anger,"I had a very good friend in secondary school.  The year after our graduation I prepared to celebrate her birthday and I called off all my appointments.  I got together the other friends and we were ready to give the entire day to her.  However this friend disappeared on her birthday.  When I phoned another friend I discovered thay she was busy, I did not call her anymore."
2779,fear,"When I was feeding a premature baby (7 months), the baby chocked. This was when I was working in children's ward I thought I had killed the baby."
2780,anger,"However , in this case , the crowd was angry that extra time was not going to be played and vented their fury on the pitch and the police rather than on one another . "
2781,sadness," Oh , I've been fine , but I'm having some trouble with my son . "
2782,anger,"Perversely , she was cross with him for having survived when she had spent the weekend fretting . "
2783,anger,Being treated unfairly.
2784,neutral, Yeah . 
2785,fear,"Disquiet at the new direction of religious affairs soon surfaced in parliament , and over the next few years a growing number of MPs began to speak out against the Arminian threat . "
2786,fear,"I was walking home one night (after getting a bus to my town) when I was confronted by a group of males (about 6), they would not let me pass - they made comments etc. - I crossed the road and hurried home."
2787,sadness,When I received my S.Y.J.C results which did not allow me to get   admission in engineering.
2788,joy,"Sometimes , amid great excitement , his mother was in , with guests who drank wine and laughed loudly and spoiled him and Pam . "
2789,fear,That's really the only problem. Ppl think they should naturally only love and be fulfilled by 1 person. When it doesn't happen?  
2790,joy, OK . 
2791,sadness," Well , I had a terrible day of work , I'm thinking of quiting my job . "
2792,fear,When I was ten I got shut in the school with a friend.  I had to jump out of a window and cross a beam 10 metres high.
2793,joy, May and Danny have already grown up . 
2794,fear,This last August when my parents dropped me off and moved me into college I didn't know anybody here; I was 17 and Berkeley really scared me.
2795,neutral,Do you have a light ? 
2796,neutral, From Zhongshan Circus to City Bank . 
2797,joy,"When I heard that a good friend, who had been abroad for a long time, would come and see me."
2798,anger,"In the student kitchen that we share, somebody drank from my juice pot (one litre) so that I only got one glass out of the whole pot."
2799,anger, You think so ? Let ’ s take a chance ! 
2800,sadness," Hey , come on . It ’ s too early to say that . We can fix things . "
2801,fear,"This sucks . I hate buying lingerie . Okay , just find something and get out of here . Alright , these are fine . Oh , no , don ’ t come over here , don ’ t come over here . "
2802,fear,Someone frightened me in the dark.
2803,sadness,When I realized that I did not have the basic things needed by a student like me.
2804,sadness,Being misunderstood by friends.
2805,neutral," he didn't say , but he said he would call me . "
2806,sadness," What's so terrible too , is the fools we've made of ourselves . "
2807,sadness,I wish the teacher wouldn't make us read this book . 
2808,anger," It's really frustrating , isn't it ? I have the same problem . I would feel a lot better if the currency was a little more stable . With the way the dollar plummeting lately , my securities have gone up in smoke . "
2809,anger,I had just seen my girlfriend and our conversation angered me greatly.
2810,sadness,"Recent break-up of seriors long-term relationship, helped along by would-be  in-laws."
2811,joy,"When I was selected for higher education, i.e grade 7 to formI."
2812,neutral, Do you have any hobbies like playing tennis or things like that ? 
2813,neutral, Why ? 
2814,joy,When my boyfriend once again told me that he loved me after a period in which he felt very depressive.
2815,anger,"With the job appointments committee when the headmaster in charge explained that a male teacher was more suitable for the particular post.  I had more years of service than the male teacher, but this was not taken into consideration.  I could have been given a less attractive job if things had gone the way the headmaster wanted."
2816,fear,Canoeing across harbour in winds - 20 knots and rising seas.
2817,fear,Being chased in the dark by someone I did not know.
2818,anger,"Going away for the weekend, leaving my College room open - when I returned several friends had had a party there, leaving the mess."
2819,fear,There was an earthquake for several minutes and I was on the eight floor.
2820,sadness,When my cousin passed away unexpectedly and tragically (a murder).
2821,joy,I went to visit friends and it was very companionable.
2822,anger,I was neglected undeservedly.
2823,joy, Congratulations ! That ’ s wonderful . I bet both of you are quite happy . 
2824,neutral," Time to order . Balista , today I want a skinny triple latte . "
2825,neutral," Don ’ t apologize ! From the moment I met you , not a day has gone by when I haven ’ t thought of you.And now that I ’ m with you again , I ’ m ... I ’ m just scared , Veronica . The closer I get to you , the worse it gets . The thought of not being with you , I mean , I just can ’ t handle it ! We were made for each other , Veronica . You are my everything , my soul mate . What can I do ? "
2826,anger,Discussion with my mother about the way to educate my children. I felt anger against my mother.
2827,neutral, You failed . 
2828,neutral, Why not ? 
2829,fear,"My mother, my sister and I were sitting in the sitting room and watching a film on TV. My father came home drunk and told us to turn off. When we did not do that he switched off the fuse and started shouting. We were sitting in the dark and I was afraid that he would do us a harm."
2830,fear,A terrible fight that I provoked with my friend.
2831,joy,"When I saw the certificate results, I did not feel very happy as I did not realize that I had got all the credits until my classmates pointed it out to me.  My parents and my relatives praised me and I realized that my results were good i.e 2A, 5B, 2C.  I felt satisfied with the results and was happy."
2832,joy,When my first child was born.
2833,joy,Don't worry . I'm sure you'll do better next time . 
2834,fear,Why does ppl say they're  when they know they aint . r u trying to trick ur mind. is the biggest thing right now. Check it..
2835,sadness," I wouldn ’ t exactly characterize it in that way . I think something happened . Something terrible and unexpected that made it impossible for him to ... what if he showed up , took one look at me and left ? "
2836,fear,When I was going to take the practical exams.
2837,sadness,"Edwin , I would be utterly desolate were it not for my faithful companion here . "
2838,anger, Yeah ! I am here with my friend and he thinks it may be the spark plug or the starter motor . 
2839,fear,"My two guitars, after a lot of years together,had decided to fell the night I was seeing Paranormal Activity #scaredtodeath"
2840,sadness,"The lugubrious publican had seen it as his job to repel strangers and had employed to that end an impressive armoury of taciturnity , malevolent glances , warm beer and poor service . "
2841,sadness,I feel sad when I see things done against men and nothing could stop it - at least I think so.
2842,anger,O'Neal seemed miffed by the whole affair .
2843,neutral," No , a lot of women stay home and take care of their families . But some work . "
2844,sadness, Oh . I just can ’ t forget it . 
2845,sadness,I lost my purse that had money in it. I was sad until I found it.
2846,fear,"He was , naturally , sometimes nervous in the face of my beauty ; and at other times needlessly pleased with himself . "
2847,anger,Being insulted in public for the wrong reason.
2848,anger,"The day the results of the Chinese university was announced I should have been very happy; however my grandmother, because of  her prejudice and misunderstanding, started a  quarrel with my mother.  She expected me to take her side and she deliberately talked of my mother's wrong doings.  I was very angry because - one my grandmother was not being reasonable and two because it should have been a happy day and three we had moved into a new house that day."
2849,anger,"When I was accused of bitching about best friend."""
2850,anger,"At the hostel they were furious with us for bringing the police , they just wanted us out , literally , and we were out ! "
2851,neutral," No , what ? "
2852,neutral,Mom ! ? ? ? 
2853,fear,` I felt less nervous in the play-off against Faldo than I have here . 
2854,fear,We're ALL afraid of something here .. bc u ain't human w/o 
2855,joy, OK . I'll see you then . 
2856,joy,When I was admitted to the University.
2857,neutral, Do I have to focus it ? 
2858,fear,Hot5's competing at the Petersen Event Center tomorrow!! Come out and support them!!  this
2859,fear," Well , I am wondering if we took a hang-out for a drink or something . You know , I just came back from a really tough interview . I was quite nervous during the interview . I really want to have the job . Right now , I am still a little on the edge . I am not sure if I could convince them during the interview . "
2860,joy,"Hi , it is a pleasant surprise ! "
2861,neutral, Why ? 
2862,joy,In March they were received as World Champions by an ecstatic crowd after winning the Cricket World Cup for the first time . 
2863,joy," Come on . Dating is a part of young people's social life . Besides , you're sixteen already . "
2864,neutral, I promise . 
2865,sadness, Certainly not . 
2866,fear,"I 'm so frightened the feeling will go away , it 's too fragile , and I do so want it not to break . "
2867,anger,Doing a group assignment and being left to do all the work and take the blame for any mistakes.
2868,fear,"For all those years you've protected the seed, it's time to become the beautiful flower.~S.C. Paul   "
2869,neutral, Why ? 
2870,anger,The mother of a person with whom we had been sharing a housing accused me of trying to rip her off over payment of bills in the house. 
2871,anger,"When playing a football match, there was one player who made mean tackels, kicked at everything and did things having nothing to do with football."
2872,neutral, What's up ? 
2873,neutral, Where are we going to have a drink ? 
2874,anger,Why didn't you tell me you had a girlfriend ? 
2875,sadness, Yeah it's too bad ... but actually I think I know what to do . 
2876,anger,When a close relative is treated badly.
2877,sadness,Recently I happened to remain alone for a long time.
2878,anger,When my brother did not send me the transport money to resume my studies in time at university.
2879,sadness,Jane Moss said yesterday that the double heartbreak of her daughter 's death and the murder of her own mum 11 years ago made her want to care for the needy . 
2880,sadness,When I quarrelled with my boyfriend.
2881,fear," Scraping is too terrifying . When they finish scrapping , your body is all red , as if you were just tortured . Cupping is the same , your body ends up with red circles all over . It looks like someone beat you up . "
2882,anger,"A terrible , furious , impotent anger filled him , making him want to strike out , to shout and scream . "
2883,fear,The idea of their having a say in the running of a club appears to make officials recoil with horror . 
2884,anger," We have been together for a year and usually , people who've been together a year , take their vacation together . "
2885,joy,"I was given a dummy in which to do my preliminary sketches , but the dummy was designed so beautifully by Amelia Edwards that I was really happy with my work . "
2886,joy,"When I had a psychical crisis, I met a girl, who told me that she had had almost the same problems and how she had finally overcome them."
2887,joy,"Mrs.Smith , time has stood still with you ! "
2888,sadness," Oh , that's too bad . "
2889,neutral, Thanks . 
2890,joy, Good luck . I'm sure you will do a good job . 
2891,fear,After mischieviously ringing on the chemist's trade-entrance doorbell and getting caught by him.
2892,fear,"Li Shai Tung looked across at him , smiling ; but behind the smile -- beyond it , in some darker , less accessible place -- lay a deep disquiet . "
2893,fear,Eyewitnesses told of the horror as shrapnel rained down on shoppers from two devices placed in cast-litter bins less than ten yards apart . 
2894,joy,"I ’ m so excited , mother . Oh , a new baby ! "
2895,joy,"When I finished my exams after 12th Grade, I was worried about getting a T.E. Score high enough for Physiotherapy. When I found that I had been accepted I was ecstatic, or more appropriately, could jump for joy."
2896,neutral,How was your education going on in Australia ? 
2897,joy,When a friend of me came for an unexpected visit.
2898,joy, I 'm delighted about that . 
2899,joy,"When on holiday in Greece I called my best friend, she told me she passed the examinations and that she had been admitted to the study for speech therapy."
2900,neutral," Yes , but I think it's probably for the best . "
2901,sadness,"During the following months the School managed to carry on , but the atmosphere must have been one of great despondency . "
2902,neutral, Bye-bye ! 
2903,fear, Are you serious ? Gambling is a vice industry built on deception and fed by the intentional exploitation of human weakness for the sole purpose of monetary gain ! It disgusts me . 
2904,sadness,"When I applied for a job which I thought I had a good chance of getting, I was not even granted an interview and did not get the job."
2905,fear,"The Lord taketh pleasure in them that fear him, in those that hope in his mercy.& 147:11 (KJV)  #hope #mercy"
2906,neutral, Who ? 
2907,fear,Melissa stared at her friend in dismay . 
2908,fear,@FLYboi_ROB is that how the kids visiting Penn State felt? -- Damn near piss my pants kicking it wit @KyletheYeti and @fattymattychady
2909,joy,When I was told that I was selected to attend Medical Assistant Training.
2910,neutral, Exactly . 
2911,sadness,When I was not accepted as a student in finance and accounting.
2912,fear,False Evidence Appearing Real 
2913,fear,When I had to go through lonely streets in the middle of the night.
2914,anger,When I failed my S.S.C exam.
2915,neutral, Says who ? 
2916,joy," I agree , I had lunch there last week . "
2917,anger,Heard about someone telling lies about me to my best friend.
2918,sadness,The loss of my father as he died of a massive and sudden heart attack.
2919,neutral, I checked . 
2920,neutral, No one . 
2921,fear,"When I walked to church with my roommate, a bum told us to call the police and he started following us."
2922,fear,I've a funny feeling the  I painstakingly planned for tomorrow is going to fail.... Too many IT issues today #dayoffruined
2923,joy,I met my friend and he gave me a wonderful present as it was my birthday.  I enjoyed having that present.
2924,neutral,What would you reckon the taxing increases ? 
2925,anger,Jealous of my husband's old girlfriend.  We met her with her husband and there was a lot of reminiscing.
2926,sadness, He never came . 
2927,anger,Sly was left feeling absolutely livid . 
2928,sadness, Sorry I couldn't help you . 
2929,sadness,The loss of the woman who loved me most till today.
2930,anger,I know why Mr . Fro didn't like our ad idea ! He doesn't know the first thing about coffee . 
2931,sadness,"When I found out that my girlfriend would not be coming back to UCB for one semester, but would be living in San Jose."
2932,anger, They ’ re really running you into the ground . Why don ’ t you ask for some time off ? You could take a long weekend and go away somewhere . 
2933,joy,"Thank you , thank you ! "" she cried , quite ecstatic that he 'd unbent . "
2934,joy,Going to Chico to visit a friend.
2935,sadness," No , he just stole all of my things . "
2936,fear,My father ’ s angry face always makes my blood run cold . 
2937,sadness,When my sister (really my niece) died of cancer at the age of 2 yrs after I took her to the doctor at the age of 1 and he diagnosed it.
2938,neutral, Alecia . 
2939,anger,I was most angry when India lost the Triangular Cricket trophy held in Australia.  I was so angry that I fought (orally) with my friend.
2940,neutral, I know . 
2941,sadness,"There I lay , half-roasted on one side , freezing on the other , in a sort of trance , more abjectly miserable than I can tell . "
2942,sadness, That's terrible . 
2943,anger,"My nephew is a deaf and also hyperactive boy. I had been responsible for looking after him for a full day, and was very tired. Then he suddenly grabbed a knife and stabbed me in the leg. I got so angry that I didn't feel any pain."""
2944,neutral, Are they ? 
2945,joy,Success in university entrance examination.
2946,fear,Anatomy lesson and told we have to do it at night sometimes.
2947,anger, And we ’ ll all help you . 
2948,joy,The young lord was overjoyed to see what a beautiful wife his friends had found for him . 
2949,anger, Why ? You can't be always so lazy . 
2950,joy, It was really an exciting moment . 
2951,sadness," Sorry , but she ’ s out . "
2952,neutral, Sure . 
2953,anger,I felt anger at my roommate due to his habit of leaving dirty dishes in the sink and generally not cleaning after himself.
2954,sadness,"Is your turn , Sir . I ‘ m sorry that you have to wait . Saturday is busy day for us . "
2955,anger,They wanted something to happen but I didn't.
2956,sadness,When I got separated from the woman I loved.
2957,anger,On another occasion he had been struck once by another man at work and we were furious at him for not returning the blow . 
2958,joy,"Li Yuan was smiling broadly , pleased with himself , proud of his scheme , and delighted that he had Tsu Ma 's approval . "
2959,fear,"I am an extremely lazy cook and nervous of long recipes , complicated sauces or anything risky such as a souffl . "
2960,sadness,"We are always sad when a young international athlete finds himself in this situation . "" "
2961,sadness, Ohhhh ! 
2962,anger,"Too many people in TV room, I was not able to get a seat to watch TV."
2963,fear,"As the frightened boy bolted to Gooseneck 's side , there was a scream from Fishbane 's corner where an unwary Pole had reaped the consequences of turning her back to view the drama . "
2964,neutral, What brand ? 
2965,anger," Your best isn't good enough . Back in my day , I'd clean a whole hospital with a toothbrush and spit , and it'd be twice as clean as this sty ! "
2966,joy," thanks for helping me with it . If you hadn't encouraged me to do my best , I wouldn't have ever been able to pass . "
2967,fear,"But he felt ` dismay and sorrow for so many people in our country who do not share this personal good fortune . "" "
2968,anger, Then stay away . Nobody's keeping you from doing that . 
2969,anger,My young brother took my wristwatch in my abscence and sold it to his friend at a cheaper price.
2970,anger,"Well , I can ’ t believe your uncle and aunt came to stay with us for a week , and they did not even call us in advance . "
2971,joy,My boyfriend was playing with my cat. He was playing games with her and telling nice things to her. 
2972,sadness," My friend and I was argued with each other . For this , I ’ m very sad . Because I don ’ t want to lose this friend . "
2973,joy, That ’ s smart . What do you usually do to relieve your anger ? 
2974,joy,"When I succeeded in achieving a scholarship for which I had strived hard during a period of financial, personal and physical stress."
2975,sadness," You know how hard I try to quit , I've lost without you . I am mot let you go . "
2976,anger,How could you have done that without asking me first ? 
2977,fear,Many people are deeply concerned about the neglect of crofting land . 
2978,joy,When I was told that I could take a week off and go for a trip with my friends.
2979,fear,"When I was young I saw a horror film.  Then when I went to sleep, the film came back too my mind and the characters frighteneed my imagination."
2980,sadness,When I heard the last regulation of the socialist govrenment concerning pensions.
2981,joy,Found my name on the list of attending the English lectures.
2982,neutral, Maybe . 
2983,joy, Julie ! It's good to see you again . How have you been ? 
2984,sadness,My grandfather died thirteen years ago.
2985,neutral, Go ahead . 
2986,sadness, You know that my father is irritable . 
2987,fear,"After seeing a terror movie at the cinema, I was so scared that I couldn't even drive the car into the garage. I often thought about the film afterwards, hoping such things couldn't exist in the \real world\""."""
2988,fear,"Anxious people become acutely sensitized to their bodies , noticing minor bodily changes upon which they focus . "
2989,neutral, Did you enjoy making the movie ? We heard stories of disagreement with other actors and with the director . 
2990,anger,When the dean of university asked me to vacate a big flat I was occupying and take up a smaller one as I was becoming a full time student at university.
2991,joy,"` Well ? "" he barked , clearly not ecstatic that she thought she could lay down conditions . "
2992,anger,"After a day or two , the owner became irked , and went to the airport to inspect his plane . "
2993,sadness,I felt sad when a thief stole all the clothes from my friend's cupboard at school (boarding).
2994,neutral, No . The teacher is dragging the chalk over the blackboard . It set my teeth on edge . 
2995,joy,Our basketball team is undefeated in league play (4-0) currently.
2996,fear,Proud of Rowan Williams. Anglican Church has morality and freedom to show social compassion without or constraint; but #faith and #hope
2997,neutral, Yes . 
2998,sadness,Peers expressed their sorrow at the news of the separation of the Prince and Princess of Wales after the Lord Chancellor Lord Mackay of Clashfern relayed the Prime Minister 's announcement to them . 
2999,fear,"When I was going home, I saw somathing which looked like a snake   on the road but later I found out that it was only a stick."
3000,fear,"My husband had gone to drive a strange, broken car.  At the agreed time, he had not returned, and I feared that he had had an accident."
3001,neutral, How come ? 
3002,sadness,I had received bad news informing me that grandmother and grandfather had passed away. The first one to die was my grandmother and after two days grandfather died too.
3003,fear, Oh no ! Not a good swing at all ! It ’ s definitely not his day today . On the seventh hole he got a bogey and before that he barely made par . He will definitely not get a birdie on this shot . 
3004,fear,"I am dismayed , but not surprised . "
3005,joy,Joy at meeting a woman I love very much.
3006,neutral, You look like a cooking show host--only messier . 
3007,fear,Two years ago I saw a film on the TV. Even now it makes me afraid.
3008,fear,The pole of light outside my window is shaking violently.  
3009,neutral, Why ? 
3010,fear,DO NOT REMEMBER.
3011,fear,"Listening to some older punk, including one of my favs, FEAR. amazed at how  the lyrics, which are 30 yrs old are still relevant today "
3012,fear,"When I was first exposed to the dead bodies, for dissecting        purposes at the school of medicine."
3013,fear,There was dismay in Belgrade . 
3014,neutral, No . Why ? 
3015,anger,"He said he was cross with you because you keep calling him Mr Vass . "" "
3016,joy,I felt joy when I red my name in the list of the approved in the entrance college examination.
3017,sadness,When I had an argument with a friend.
3018,anger,"When I argue with my boyfriend, I feel as though he feels superior to me."
3019,anger," They were supposed to , but so far nobody ’ s turned up , and I ’ m left on my own to do the work . This is the first break I ’ Ve had all day . "
3020,sadness, I have said that we will try our best . You can trust us . But you know her situation . 
3021,sadness,"He had a narrow mournful face , tapering to a long pointed chin . "
3022,sadness,"Suddenly becoming aware of his blue gaze being levelled in her direction , she turned a smile into a cough , and promptly spilled coffee into the saucer . "
3023,neutral, why not ? 
3024,sadness," Yeah but , he is always in a really foul mood . I try to find out what ’ s bothering him or get him to talk about his day but , he always shuts down and brushes me off . "
3025,fear,"One night we were having a barbecue on the beach and I needed to go to my car, which was far away from the beach.  It was very dark as there were no street lamps.  I ran in the dark, very scared, I ran as fast as possible."
3026,joy,I felt joy when I heard my name being called on the radio as one of the students who had passed the interview of Nursing and was selected to start Nursing.
3027,joy,I just finished reading this article ' Getting Old Gracefully ' . It's a very good article . 
3028,sadness," Yeah . It ’ s pretty bad , that car looks like a coke can . "
3029,fear,"As a gentleman of considerable physique , Guttersnipe is naturally alarmed at such prejudice against the nutritionally challenged . "
3030,neutral,Could I see the manager please ? I have a complaint to make . 
3031,sadness, I am afraid I can't I am going to be out all day . 
3032,neutral,What ’ s the life expectancy in your country ? 
3033,neutral,There will be a parade to celebrate National Day this weekend . 
3034,sadness,"Following yesterday 's revival in fortunes , the London share market was in a despondent mood as the Treasury deflated hopes of early interest rate cuts . "
3035,anger," It was a few things . The first thing that happened was that we were supposed to go out for a romantic dinner for our one year anniversary , but she stood me up ! "
3036,joy, That's very good . It's said that marriage is the Ab of love . But the words may not be right . 
3037,sadness,The walk to the town centre is long enough to invigorate me and short enough to avoid getting miserable from the cold . 
3038,fear,"[Or hear,] I do not  in   am SURE of it, and I am not #saved because I feel no worthiness in me?"
3039,joy,"Merry Christmas , Linda ! "
3040,joy,Sarah tried to stop herself from feeling happy at this revelation . 
3041,sadness,"The thought that I'll never sit at the school desk again, caused a deep grief at the end of my eleventh form."
3042,neutral, All right . 
3043,fear,"When I heard that there had been some women raped at uni, just near where I usually park my car and walk by myself at night. Although I wasn't in danger it unnerved me for days and I was fearful whenever walking through the area."
3044,fear,"Nevertheless , even among non abolitionists ( and across most of the political spectrum ) there has been grave disquiet about the state of the prisons . "
3045,fear,Travelling by coach on a rather narrow and wet road.
3046,neutral, I have had disagreement with every director . I ’ Ve worked with . We ’ Ve always disagreed in a friendly way and we have always resolved our differences . It was the same when I made this movie . I don ’ t no 
3047,joy, I went to the beach with my friends and had a barbecue there . 
3048,anger,I loved a person and he went away. It wasn't necessary that he left me to reach his goals.
3049,neutral, I ’ m looking forward to this film . I read a good review of it in this morning ’ s newspaper . 
3050,joy,My friend came to see me after she had stayed abroad. I waited at the station.
3051,fear,Hate driving next to 18 Wheelers. Heart starts pounding through my chest every time. 
3052,joy,When the Real Madrid team of basket ball qualified for the final of the Europe Cup at Athens.
3053,anger,My parents do not like my friend and told me to stay away from him.
3054,fear,When I broke my leg I felt fear.
3055,anger, Not at all . 
3056,anger,"Oh , the food here really is bad . My soup was cold and meat , ur ... it was like leather . "
3057,fear,"I was in a train where a fight occurred. One person who was there opened his handbag and took out a gun, another who fought too looked among his things for a weapon to fight."
3058,joy,A recurrent lovesickness.
3059,fear, Is it a horror movie ? 
3060,anger,I was indignant at the unimpartiality shown by the referees at the football match between Bulgaria and France.
3061,sadness,When I realized that I was in hospital after a car accident and that I had a scleral tear in my left eye.
3062,fear,The first time that I saw a dead person.  This was when I started my gross anatomy practicals.
3063,fear,Small car accident. Black ice on the road - cars in front of us started zagging and so did we. Car in front did a 180 turn we followed and ended up in a gully.
3064,neutral, What ? 
3065,fear,"When I was very young, one day, I was in the street with my father and brother.   While my father was talking to some friends, I saw a dog and began to pat it.  My father told me sharply to stop doing it because the dog had mange.  Then my brother told me that I would die and I could not stop crying after this."
3066,anger,"I was disappointed and angry at the bad quality of a documentay program on TV.  In my opinion, the topic was important and the program should have been made with seriousness and consideration."
3067,neutral, No . What ? 
3068,fear,"Yet....., we are unable to effect and change what and whom we see that negatively affects us...Why operate in ... #UseITdontUseIT"
3069,fear,Moral to the story? A little can be used as a huge #advanage. #pointtoprove
